	logFC	logCPM	PValue	FDR	sig	color
OTU175	0.718208656	9.61306218	1	1	none	none
OTU190	0.71620798	9.612014995	1	1	none	none
OTU278	0.715169697	9.613800376	1	1	none	none
OTU167	0.641992119	9.713734384	0.731017973	1	none	none
OTU63	0.636325784	9.707413239	0.691342343	1	none	none
OTU73	0.586189238	9.791363771	0.731017973	1	none	none
OTU638	0.566809933	9.799097582	1	1	none	none
OTU1308	0.543147612	9.886972866	0.557962066	1	none	none
OTU144	0.540094572	10.4009843	0.447330087	1	none	none
OTU41	0.412627002	10.64662985	0.528445521	1	none	none
OTU422	0.405709957	10.81586317	0.564473436	1	none	none
OTU123	0.289541246	9.754723882	1	1	none	none
OTU955	0.288386865	9.665816499	1	1	none	none
OTU2056	0.269043671	9.558235094	1	1	none	none
OTU183	0.268196338	9.562149742	1	1	none	none
OTU185	0.262573318	9.563802418	1	1	none	none
OTU1653	0.256401737	9.559224717	1	1	none	none
OTU187	0.252921428	9.563966472	1	1	none	none
OTU584	0.246193041	9.561227609	1	1	none	none
OTU472	0.210390772	9.453537706	1	1	none	none
OTU693	0.210390772	9.453537706	1	1	none	none
OTU520	0.20968007	9.453235799	1	1	none	none
OTU690	0.20968007	9.453235799	1	1	none	none
OTU1441	0.20968007	9.453235799	1	1	none	none
OTU675	0.207221721	9.45221114	1	1	none	none
OTU101	0.205686661	10.25057218	1	1	none	none
OTU293	0.2053057	9.455464912	1	1	none	none
OTU1829	0.2053057	9.455464912	1	1	none	none
OTU502	0.205022238	9.455607331	1	1	none	none
OTU486	0.204822983	9.451239723	1	1	none	none
OTU314	0.203810859	9.450837961	1	1	none	none
OTU374	0.202888517	9.456699581	1	1	none	none
OTU1341	0.202727428	9.454388218	1	1	none	none
OTU1437	0.202727428	9.454388218	1	1	none	none
OTU312	0.202443966	9.45453055	1	1	none	none
OTU423	0.200919791	9.455306596	1	1	none	none
OTU1634	0.200919791	9.455306596	1	1	none	none
OTU1100	0.199316566	9.453013496	1	1	none	none
OTU455	0.197925881	9.454641455	1	1	none	none
OTU743	0.197925881	9.454641455	1	1	none	none
OTU533	0.197911508	9.454648926	1	1	none	none
OTU896	0.197911508	9.454648926	1	1	none	none
OTU434	0.196899383	9.454246452	1	1	none	none
OTU49	0.193756033	10.31522511	1	1	none	none
OTU44	0.14908903	10.60956137	1	1	none	none
OTU75	0.092415799	9.9599484	1	1	none	none
OTU61	0.087216991	10.94205832	0.790136218	1	none	none
OTU138	0.077490244	10.21031887	1	1	none	none
OTU70	0.05044516	10.14717458	1	1	none	none
OTU20	0	9.338687302	1	1	none	none
OTU71	0	9.338687302	1	1	none	none
OTU200	0	9.338687302	1	1	none	none
OTU203	0	9.338687302	1	1	none	none
OTU204	0	9.338687302	1	1	none	none
OTU212	0	9.338687302	1	1	none	none
OTU213	0	9.338687302	1	1	none	none
OTU214	0	9.338687302	1	1	none	none
OTU219	0	9.338687302	1	1	none	none
OTU226	0	9.338687302	1	1	none	none
OTU230	0	9.338687302	1	1	none	none
OTU232	0	9.338687302	1	1	none	none
OTU247	0	9.338687302	1	1	none	none
OTU256	0	9.338687302	1	1	none	none
OTU258	0	9.338687302	1	1	none	none
OTU265	0	9.338687302	1	1	none	none
OTU269	0	9.338687302	1	1	none	none
OTU272	0	9.338687302	1	1	none	none
OTU276	0	9.338687302	1	1	none	none
OTU280	0	9.338687302	1	1	none	none
OTU281	0	9.338687302	1	1	none	none
OTU284	0	9.338687302	1	1	none	none
OTU289	0	9.338687302	1	1	none	none
